Produits,janvier 2025,février 2025,mars 2025,avril 2025,mai 2025
,Dollars,,,,
"Boeuf à ragoût, par kilogramme ","18,01","19,69","19,33","20,65","20,90"
"Contrefilets de boeuf, par kilogramme","27,80","28,05","35,00","32,81","30,33"
"Hauts de surlonge de boeuf, par kilogramme","23,19","22,79","22,06","26,20","25,45"
"Côtes de boeuf, par kilogramme","28,95","32,79","39,01","28,21","32,57"
"Boeuf haché, par kilogramme","13,08","13,91","13,85","14,17","14,67"
"Longes de porc, par kilogramme","8,77","9,09","8,72","9,66","8,56"
"Côtes de porc, par kilogramme","7,94","8,05","8,35","9,17","8,99"
"Épaule de porc, par kilogramme","6,18","6,70","7,23","9,82","9,93"
"Poulet entier, par kilogramme","5,73","5,96","6,01","6,17","5,91"
"Poitrines de poulet, par kilogramme","13,53","12,97","13,69","13,51","14,42"
"Hauts de cuisse de poulet, par kilogramme","12,07","11,34","11,03","12,17","12,69"
"Pilons de poulet, par kilogramme","6,96","6,69","6,21","5,89","6,68"
"Bacon, 500 grammes","6,64","6,82","6,75","6,85","7,23"
"Saucisses fumées, 400 grammes","3,94","4,17","4,07","4,32","3,93"
"Saumon, par kilogramme","27,47","27,01","27,56","26,76","27,56"
"Crevette, 300 grammes","7,39","7,33","7,12","7,36","7,62"
"Saumon en conserve, 213 grammes","4,44","5,03","4,93","4,90","4,60"
"Thon en conserve, 170 grammes","1,58","1,66","1,51","1,65","1,67"
"Burgers sans viande, 226 grammes","6,20","6,21","6,24","6,31","6,36"
"Lait, 1 litre","3,03","3,06","3,07","3,06","3,08"
"Lait, 2 litres","5,31","5,36","5,35","5,38","5,38"
"Lait, 4 litres","6,61","6,75","6,76","6,74","6,78"
"Lait de soja, 1,89 litres","4,27","4,20","4,24","4,18","4,12"
"Lait de noix, 1,89 litres","4,19","4,25","4,21","4,09","4,09"
"Crème, 1 litre","4,61","4,66","4,79","4,36","4,74"
"Beurre, 454 grammes","5,96","5,87","5,64","5,55","5,70"
"Margarine, 907 grammes","7,37","7,26","7,32","7,23","7,07"
"Fromage en bloc, 500  grammes","6,76","7,05","6,88","6,75","6,86"
"Yogourt, 500 grammes","3,50","3,56","3,56","3,67","3,70"
"Oeufs, 1 douzaine","4,89","4,91","4,92","4,92","4,94"
"Pommes, par kilogramme","5,13","5,63","5,44","5,85","6,06"
"Oranges, par kilogramme","3,85","4,31","4,60","4,56","4,96"
"Oranges, 1,36 kilogrammes","5,27","5,61","5,93","5,75","6,18"
"Bananes, par kilogramme","1,66","1,66","1,67","1,66","1,68"
"Poires, par kilogramme","5,95","6,86","5,29","5,14","5,54"
"Citrons, unité","0,94","0,98","0,97","0,93","0,94"
"Limes, unité","0,81","0,86","0,84","0,81","0,78"
"Raisins, par kilogramme","8,13","7,04","6,35","6,47","8,66"
"Cantaloup, unité","4,39","4,32","3,19","3,54","4,22"
"Fraises, 454 grammes","4,77","3,84","3,42","3,04","2,90"
"Avocat, unité","2,27","2,19","2,40","2,36","2,48"
"Pommes de terre, 4,54 kilogrammes","5,24","4,88","4,77","4,71","5,73"
"Pommes de terre, par kilogramme","4,78","4,91","4,72","4,81","5,01"
"Patates douces, par kilogramme","4,47","4,48","4,35","3,89","4,46"
"Tomates, par kilogramme","6,64","5,43","5,10","4,69","4,52"
"Chou, par kilogramme","2,50","2,74","2,68","2,63","2,91"
"Carottes, 1,36 kilogrammes","3,74","3,97","4,05","3,94","4,24"
"Oignons, par kilogramme","5,52","5,62","5,63","5,65","5,53"
"Oignons, 1,36 kilogrammes","4,51","4,61","4,53","4,71","4,79"
"Céleri, unité","3,34","3,50","3,14","3,20","3,36"
"Concombre, unité","1,92","1,81","1,54","1,33","1,28"
"Champignons, 227 grammes","2,54","2,54","2,32","2,31","2,32"
"Laitue iceberg, unité","2,94","3,09","3,22","3,07","3,08"
"Laitue romaine, unité","3,71","3,72","3,63","3,70","3,64"
"Brocoli, unité","2,48","2,19","2,50","2,27","2,52"
"Poivrons, par kilogramme","9,57","8,59","7,78","7,89","7,95"
"Courge, par kilogramme","4,65","5,05","4,81","4,75","5,52"
"Légumes-feuilles, 142 grammes","4,43","4,55","4,56","4,64","4,57"
"Pommes de terre frites surgelées, 750 grammes","3,58","2,82","3,43","3,58","3,63"
"Haricots verts surgelés, 750 grammes","4,01","4,16","4,17","3,98","4,36"
"Brocoli surgelé, 500 grammes","3,67","3,79","3,65","3,44","3,83"
"Maïs surgelé, 750 grammes","3,56","3,60","3,57","3,23","3,67"
"Mélange de légumes surgelé, 750 grammes","3,77","3,89","3,89","3,77","4,00"
"Petits pois surgelés, 750 grammes","3,55","3,57","3,57","3,24","3,64"
"Pizza surgelé, 390 grammes","4,82","4,58","4,46","4,52","4,70"
"Épinard surgelé, 300 grammes","1,63","1,99","1,98","1,94","2,04"
"Fraises surgelé, 600 grammes","5,09","4,85","4,83","4,77","5,04"
"Pain blanc, 675 grammes","3,44","3,50","3,48","3,48","3,50"
"Pain sans levain et pita, 500 grammes","3,63","3,70","3,46","3,53","3,61"
"Craquelins et pain croustillant, 200 grammes","2,99","2,87","2,96","2,77","2,91"
"Biscuits et biscuits sucrés, 300 grammes","3,18","3,17","3,13","3,19","3,29"
"Pâtes sèches ou fraîches, 500 grammes","3,04","3,17","3,22","3,25","3,28"
"Riz complet, 900 grammes","5,84","5,81","5,83","5,79","5,77"
"Riz blanc, 2 kilogrammes","9,15","9,76","10,20","9,82","10,03"
"Céréales, 400 grammes","4,13","4,19","4,08","4,14","4,18"
"Farine de blé, 2,5 kilogrammes","5,24","5,18","5,22","4,99","5,36"
"Sucre blanc, 2 kilogrammes","3,31","3,29","2,69","2,94","3,20"
"Jus de pomme, 2 litres","3,63","3,80","3,78","3,85","3,94"
"Jus d’orange, 2 litres","5,62","5,89","5,87","5,90","5,92"
"Café torréfié ou moulu, 340 grammes","7,00","7,32","7,60","7,78","8,50"
Thé (20 sachets),"4,38","4,26","4,29","4,35","4,35"
"Ketchup, 1 litre","4,82","4,86","4,83","4,94","4,80"
"Huile végétale, 3 litres","9,38","9,29","8,40","8,62","9,13"
"Huile de canola, 3 litres","10,05","9,58","10,04","9,60","10,30"
"Huile d'olive, 1 litre","16,42","13,79","14,50","11,90","12,41"
"Aliments pour bébés, 128 millilitres","1,54","1,55","1,57","1,59","1,61"
"Préparation pour nourrissons, 900 grammes","45,34","47,27","49,25","48,24","49,59"
"Beurre d’arachide, 1 kilogramme","5,95","5,58","5,73","6,06","6,13"
"Mayonnaise, 890 millilitres","6,42","6,49","6,46","6,43","6,24"
"Fèves au lard en conserve, 398 millilitres","1,84","1,80","1,82","1,82","1,86"
"Tomates en conserve, 796 millilitres","2,07","2,04","2,09","2,11","2,15"
"Soupe en conserve, 284 millilitres","1,21","1,22","1,30","1,34","1,34"
"Haricots et lentilles en conserve, 540 millilitres","1,64","1,64","1,54","1,59","1,68"
"Maïs en conserve, 341 millilitres","1,54","1,67","1,55","1,48","1,58"
"Pêche en conserve, 398 millilitres","2,46","2,54","2,52","2,57","2,45"
"Poire en conserve, 398 millilitres","2,66","2,89","2,78","2,82","2,82"
"Lentilles séchées, 900 grammes","3,70","3,72","3,70","3,66","3,64"
"Haricots et légumineuses secs, 900 grammes","3,47","3,49","3,40","3,42","3,46"
"Tofu, 350 grammes","2,56","2,70","2,71","2,73","2,71"
"Houmous, 227 grammes","3,85","3,70","3,84","3,67","3,38"
"Salsa, 418 millilitres","4,67","4,56","4,82","4,80","4,90"
"Sauce pour pâtes, 650 millilitres","3,24","3,19","3,27","3,22","3,27"
"Vinaigrette, 475 millilitres","3,33","3,31","3,33","3,29","3,32"
"Amandes, 200 grammes","4,60","4,72","4,79","4,85","5,11"
"Arachides, 450 grammes","3,95","3,91","3,93","4,07","4,22"
"Graines de tournesol, 400 grammes","4,48","4,68","4,88","4,87","4,91"
"Déodorant, 85 grammes","7,60","7,74","7,51","7,66","7,77"
"Dentifrice, 100 millilitres","3,89","4,11","4,00","4,07","4,02"
"Shampooing, 400 millilitres","6,98","6,84","7,02","7,20","7,21"
"Détergent à lessive, 4,43 litres","13,20","13,03","13,76","14,00","13,46"

